年份,试卷文件,题型板块,题号,题目文本,匹配题型ID,匹配题型名称,所属专题,所属章节,难度等级,匹配分数,备选题型
2024,2024年重庆市初中学业水平暨高中招生考试全真模拟数学试题.docx,二、填空题,17,已知关于x的分式方程有整数解，且关于x的不等式组的解集为，则符合条件的所有整数a的和为 _____．,92,解一元一次不等式组,代数,第六章 不等式及不等式组,lv2,44,不等式的基本性质(36) | 一元一次不等式整数解(26) | 整数解方程(26)
2024,2024年重庆市初中学业水平暨高中招生考试全真模拟数学试题.docx,二、填空题,18,若一个三位正整数（各个数位上的数字均不为满足，则称这个三位正整数为“吉祥数”．对于一个“吉祥数” ，将它的百位数字和个位数字交换以后得到新数，记．如：满足，则216为“吉祥数”，那么，所以．则最小的“吉祥数”是___________；对于任意一个“吉祥数”m，若能被7整除，则满足条件的“吉祥数”m的最大值是___________．,12,根据定义求值,代数,第一章 有理数,lv1,35,整数解方程(35) | 正数、负数和0(23) | 数轴的概念(23)
2024,2024年重庆市初中学业水平暨高中招生考试全真模拟数学试题.docx,三、解答题,19,计算： (1)； (2)．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆市初中学业水平暨高中招生考试全真模拟数学试题.docx,三、解答题,20,如图，点在线段上，，，，交于点. (1)尺规作图：过点作线段的垂线交于点．（基本作图，保留作图痕迹，不写作法，不下结论） (2)求证：（请补全证明过程）. 证明：∵， ∴ ① . 在和中， ∴ ∴， ② ， ∴， ∴， ∴， ∴ ③ ． ∵ ④ ， ∴．,244,垂直平分线,几何,第五章 轴对称,lv2,47,角平分线模型(47)
2024,2024年重庆市初中学业水平暨高中招生考试全真模拟数学试题.docx,三、解答题,21,为进一步提高学生的上机操作能力，某校在微机室内开展了计算机打字比赛．现从七、八年级中各随机抽取20名学生的比赛成绩进行整理和分析，成绩用（为每分钟打字个数）表示，共分五个等级．，，，，． 七年级抽取的20名学生的成绩分别是：79，87，71，84，75，79，88，71，76，91，76，79，83，71，75，79，87，63，84，80 八年级抽取的学生在等级的成绩分别是：89，82，82，84，80，84，81，82，82，83，81 抽取的七、八年级学生打字成绩统计表 根据以上信息，解答下列问题： (1)请补全条形统计图，并直接写出，的值； (2)根据以上数据分析，你认为哪个年级的学生上机操作能力更好，并说明理由（写出一条理由即可）； (3)已知该校七、八年级各有600名学生参与了计算机打字比赛，请估计两个年级打字成绩优秀的学生共有多少人（成绩的为优秀）？,383,从条形统计图分析数据,统计概率,第二章 数据分析,lv2,74,统计图的选择(63) | 求平均数(38) | 求中位数和众数(38)
2024,2024年重庆市初中学业水平暨高中招生考试全真模拟数学试题.docx,三、解答题,22,某超市计划购进甲、乙两种商品进行销售．经了解，甲种商品的进价比乙种商品的进价高50%，超市用1500元购进甲种商品比用2000元购进乙种商品的重量少50千克，已知超市对甲，乙两种商品的售价分别为45元/千克和30元/千克． (1)求甲、乙两种商品的进价分别是多少？ (2)若超市购进这两种商品共450千克，其中甲种商品的重量不高于乙种商品重量的2倍，则超市应如何进货才能获得最大利润，最大利润是多少？,59,利润问题,代数,第三章 一元一次方程,lv2,47,利润问题(47) | 利润问题(47) | 二元一次方程组解法(23)
2024,2024年重庆市初中学业水平暨高中招生考试全真模拟数学试题.docx,三、解答题,23,如图，中，，，，动点P从点A出发，沿着折线匀速运动，到达C点时停止，设点P运动路程为x，的面积为y（动点P在点A和点C时，的面积记为0）． (1)请直接写出y关于x的函数表达式，并注明自变量x的取值范围； (2)在平面直角坐标系中画出y与x的函数图象，并写出它的一条性质； (3)根据图象直接写出当时的取值范围．,331,一次函数图象和性质,函数,第二章 一次函数的性质和图象,lv2,155,二次函数图象判断(148) | 反比例函数的图象性质(148)
2024,2024年重庆市初中学业水平暨高中招生考试全真模拟数学试题.docx,三、解答题,24,重庆有六座矗立百年的文峰塔，其中位于江北区塔子山的文峰塔被称为是重庆的“航标”．小宇与小航准备测量塔子山文峰塔的高度，如图，小宇在点处观测到文峰塔最高点的仰角为，再沿正对文经塔的方向前进至处测得最高点的仰角为，小航先在点处竖立长为标杆，再后退至其眼睛所在位置点、标杆顶、最高点在一条直线上，此时测得最高点的仰角为，已知两人身高均为（头顶到眼睛的距离忽略不计）． (1)求文峰塔的高度．（结果保留整数）； (2)测量结束时小宇站在点处（点在点的正下方），小航站在点处，则小宇与小航相距多远？（结果精确到米，参考数据：）,280,直线和圆的位置关系,几何,第九章 圆,lv2,33,解直角三角形实际应用(23) | 判断展开图标记物的位置(11) | 数据的收集与整理过程(11)
2024,2024年重庆市初中学业水平暨高中招生考试全真模拟数学试题.docx,三、解答题,25,在平面直角坐标系中，抛物线过点和点，交x轴于A，B两点（点A在点B的左侧），顶点为C． (1)求抛物线y的函数表达式； (2)如图1，点P为直线BC上方抛物线上一动点，过点P作交于点E，作轴交抛物线于点F，求的最大值及此时点P的坐标； (3)如图2，将抛物线y沿射线的方向平移个单位长度得到新抛物线，的对称轴交x轴于点H，D为的顶点，M为对称轴右侧图象上的一点，N为对称轴上的一点，当时，直接写出的面积．,346,二次函数图象和性质判断,函数,第三章 二次函数,lv2,179,二次函数中的图形面积问题(119) | 求二次函数的解析式(71) | 判断轴对称图形(51)
2024,2024年重庆市初中学业水平暨高中招生考试全真模拟数学试题.docx,三、解答题,26,在中，，过B点作于点E，点D为线段的中点，连接． (1)如图1，，求的长度； (2)如图2，将线段绕着点D逆时针旋转得到线段，此时，连接，点F为的中点，连接，求证：； (3)如图3，，点P是线段上一点，连接，将沿翻折到同一平面内得到，连接，将线段绕点顺时针旋转得线段，连接，当最小时，直接写出的面积．,288,平行线分线段成比例,几何,第十章 相似三角形,lv2,35,图形旋转的性质(29) | 正数、负数和0(23) | 数轴的概念(23)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,一、单选题,1,下列各数中，最小的实数是（   ） A．	B．	C．	D．,2,对有理数进行分类,代数,第一章 有理数,lv1,47,正数、负数和0(23) | 数轴的概念(23) | 判断无理数(23)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,一、单选题,2,如图所示的几何体的俯视图是（    ） A．	B．	C．	D．,311,由几何体判定三视图,几何,第十二章 投影和视图,lv1,35,几何体的展开图(17)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,一、单选题,3,如图，表示某河流某一天的水位变化情况，0时的水位为警戒水位，结合图象得出下列判断，其中不正确的是（    ） A．8时水位最高	B．P点表示12时水位为米 C．8时到16时水位都在下降	D．这一天水位均高于警戒水位,148,字母扩大倍数求分式值的变化,代数,第九章 分式及分式方程,lv2,11,依据判别式判断根的情况(11)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,一、单选题,4,下列点中，在反比例函数的图象上的是（　     　） A．	B．	C．	D．,361,已知反比例函数求参,函数,第四章 反比例函数,lv2,58,反比例函数的图象性质(58) | 求反比例函数解析式(58) | 反比例函数和一次函数图象判断问题(19)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,一、单选题,5,如图，与位似，点O是位似中心，，若的面积为8，则的面积为（    ） A．2	B．4	C．6	D．8,289,位似,几何,第十章 相似三角形,lv2,35,等面积法(17) | 面积比问题(17)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,一、单选题,6,估计的值应在（    ） A．2到3之间	B．3到4之间	C．4到5之间	D．5到6之间,66,无理数的估算,代数,第四章 实数,lv2,21,
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,一、单选题,7,"用火柴棒按如图的方式拼图形,①中有7根火柴棒,②中有12根火柴棒,③中有17根火柴棒……,则图形⑩中火柴棒的根数是（    ） A．42	B．47	C．52	D．57",40,数图排列规律,代数,第二章 整式及其加减计算,lv3,35,
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,一、单选题,8,如图，是的直径，，，是的弦．若，，则弦的长度为（    ） A．	B．	C．3 	D．,288,平行线分线段成比例,几何,第十章 相似三角形,lv2,83,弧、弦、圆心角、圆周角的关系(23)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,一、单选题,9,在正方形中，将绕点逆时针旋转到，旋转角为，连接BE，并延长至点，使，连接DF，则的度数是（    ） A．	B．	C．	D．,265,正方形的性质,几何,第七章 平行四边形,lv2,47,正方形的判定(47) | 图形旋转的性质(29)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,一、单选题,10,已知代数式，，从第三个式子开始，每一个代数式都等于前两个代数式的和，，，…，则下列说法正确的是（    ） ①若，则 ② ③前2024个式子中，a的系数为偶数的代数式有674个 ④记前n个式子的和为，则 A．1个	B．2个	C．3个	D．4个,27,代数式书写规范,代数,第二章 整式及其加减计算,lv1,25,整式的概念(25)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,二、填空题,11,计算： ______________．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,二、填空题,12,已知一个多边形为八边形，则它的内角和为________°．,215,三角形中的角度计算,几何,第三章 三角形,lv2,107,
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,二、填空题,13,一个仅装有球的不透明布袋里共有4个球（只有编号不同），编号分别为2，3，5，8．从中任意摸出一个球，记下编号，不放回，再任意摸出一个球，则两次摸出的球的编号之和为偶数的概率是_________．,393,概率的意义,统计概率,第三章 概率初步,lv1,25,求随机事件的概率(25)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,二、填空题,14,某新建工业园区今年六月份提供就业岗位个，并按计划逐月增长，预计八月份将提供岗位个．设七、八两个月提供就业岗位数量的月平均增长率为，根据题意，可列方程为___________．,188,增长率问题,代数,第十一章 一元二次方程,lv2,95,和、差、倍、分问题(35) | 一元一次方程的有关概念(35)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,二、填空题,15,如图，在矩形中，，对角线的交点为，分别以为圆心 ，的长为半径画弧，两条圆弧恰好都经过点，则图中阴影部分的面积为_________．,281,弧长和扇形面积,几何,第九章 圆,lv2,71,矩形的性质(30) | 矩形的判定(30)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,二、填空题,16,如图，在菱形中，过点作交AC于点，若，则的长是____．,263,菱形的性质,几何,第七章 平行四边形,lv2,31,菱形的判定(31)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,二、填空题,17,若关于x的一元一次不等式组有解且最多有3个整数解，且使关于y的分式方程有整数解，则所有满足条件的整数a的值之和是______．,92,解一元一次不等式组,代数,第六章 不等式及不等式组,lv2,44,不等式的基本性质(36) | 一元一次不等式整数解(26) | 整数解方程(26)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,二、填空题,18,一个各数位上的数字不完全相同且均不为0的四位正整数，若满足千位数字与个位数字相等，百位数字与十位数字相等，称这样的四位数为“对称数”，将“对称数”M的千位数字与百位数字对调，个位数字与十位数字对调得到一个新的“对称数”记为，记，若“对称数”A，满足能被7整除，则A的最小值为______________；在能被7整除的情况下，对于“对称数”，有，且k为正整数，当取得最大值时，_____________．,36,定义新运算,代数,第二章 整式及其加减计算,lv2,35,根据定义求值(35) | 整数解方程(35) | 正数、负数和0(23)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,三、解答题,19,计算： (1)； (2)．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,三、解答题,20,如图，在中，分别交AD，BD于点E，F． (1)用尺规完成以下基本作图：过点A作BC的垂线，分别交BD，BC于点G，H，连接AF，CG；（保留作图痕迹，不写作法和结论） (2)根据（1）中所作图形，小南发现四边形AGCF是平行四边形，并给出了证明，请你补全证明过程． 证明： ∵四边形ABCD是平行四边形． ∴， ① ， ∴． ∵，， ∴ ② 度， ∴， ∴． 又∵ ③ ， ∴， 在△ABG和△CDF中， ， ∴． ∴ ④ ， 又∵， ∴四边形AGCF是平行四边形．,259,平行四边形的性质,几何,第七章 平行四边形,lv2,49,平行四边形的判定(49) | 矩形的性质(16) | 矩形的判定(16)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,三、解答题,21,重庆被誉为“最食烟火的人间8D魔幻城市”．为更全面的了解“五一”期间游客对重庆热门景点的游玩满意度，工作人员从多维度设计了满分为100分的问卷，在洪崖洞和磁器口随机采访游客并记录结果．假期结束，工作人员从洪崖洞和磁器口的采访结果中各随机抽取10个数据，并进行整理描述和分析（结果用x表示，共分为四个等级：不满意，比较满意，满意，很满意），下面给出了部分信息： 10名洪崖洞游客的评分结果：76，84，85，87，88，88，88，89，96，99 10名磁器口游客中“满意”等级包含的所有数据为：86，88，89，89，89 抽取的洪崖洞和磁器口游客的游玩满意度统计表 根据以上信息，解答下列问题： (1)填空：　 　，　 　，　 　； (2)若“五一”当天洪崖洞和磁器口的游客分别为3万人和5万人，请你估计“五一”当天有多少万人对这两个景点的满意度为“很满意”； (3)根据以上数据，你认为“五一”当天游客对洪崖洞和磁器口这两个景点的游玩满意度哪一个更高？请说明理由（写出一条理由即可）．,66,无理数的估算,代数,第四章 实数,lv2,33,数据的收集与整理过程(30) | 求平均数(23) | 求中位数和众数(23)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,三、解答题,22,正所谓“道路通达，百业兴旺”，某村决定对村里的部分道路进行整改，将工程交由甲、乙两个工程队来完成．已知甲工程队每天比乙工程队多修，如果甲工程队修所用的天数是乙工程队修所用天数的一半． (1)求甲，乙两个工程队每天各修路多少？ (2)现计划再修建长度为的道路，由甲、乙两个工程队来完成，若甲队每天所需费用为万元，乙队每天所需费用为万元，求在总费用不超过万元的情况下，至少安排乙工程队施工多少天？,57,工程问题,代数,第三章 一元一次方程,lv2,131,
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,三、解答题,23,如图，在矩形中，，动点M，N分别以每秒个单位长度的速度和每秒1个单位长度的速度同时从点C出发，点M沿折线方向运动，点N沿折线C→D→A方向运动，当两者相遇时停止运动．设运动时间为x秒，点M，N的距离为y． (1)请直接写出y关于x的函数表达式并注明自变量x的取值范围； (2)在给定的平面直角坐标系中画出这个函数的图象，并写出该函数的一条性质； (3)结合函数图象，写出点M，N相距4个单位长度时x的值．,331,一次函数图象和性质,函数,第二章 一次函数的性质和图象,lv2,275,二次函数图象判断(268) | 反比例函数的图象性质(268)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,三、解答题,24,如图，我市在三角形公园旁修建了两条骑行线路：①E—A—C；②E—D—C．经勘测，点A在点B的正西方10千米处，点C在点B的正南方，点A在点C的北偏西方向，点D在点C的正南方20千米处，点E在点D的正西方，点A在点E的北偏东方向． （参考数据：，） (1)求的长度．（结果精确到1千米） (2)由于时间原因，小渝决定选择一条较短线路骑行，请计算说明他应该选择线路①还是线路②？,288,平行线分线段成比例,几何,第十章 相似三角形,lv2,35,工程问题(23) | 行程问题(23) | 行程问题(23)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,三、解答题,25,如图，在平面直角坐标系中，抛物线，交轴于点A，交轴于点，，连接． (1)求抛物线的表达式； (2)点是直线下方抛物线上一动点，过点作轴交直线于点，是轴上一点，连接，使，求的最大值及此时点的坐标； (3)将原抛物线沿方向平移个单位长度，在新抛物线上有一点，使得，请写出所有符合条件的横坐标，并写出其中一种情况的过程．,346,二次函数图象和性质判断,函数,第三章 二次函数,lv2,191,二次函数中的图形面积问题(155) | 求二次函数的解析式(119)
2024,2024年重庆市初中学业水平暨高中招生考试数学模拟试题.docx,三、解答题,26,如图，在中，，点D为一点，连接． (1)如图1，若，，求的长； (2)如图2，过点A作于点E，交于点M，于点G，交于点N，求证： ； (3)如图3，将沿翻折至处，在上取点F，连接，过点E作交于点G，交于点H，连接，若，，求的最小值．,1,正数、负数和0,代数,第一章 有理数,lv1,23,数轴的概念(23) | 矩形翻折问题(19) | 直角三角形翻折问题(19)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,一、单选题,1,3的相反数为（　　） A．﹣3	B．﹣	C．	D．3,4,求一个数的相反数,代数,第一章 有理数,lv1,53,
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,一、单选题,2,如下字体的四个汉字中，是轴对称图形的是（    ） A．  	B．  	C．  	D．,241,判断轴对称图形,几何,第五章 轴对称,lv1,51,轴对称的应用(36) | 点的对称规律(15)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,一、单选题,3,如图，，，则的度数是（    ） A．	B．	C．	D．,,未匹配,,,,0,
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,一、单选题,4,反比例函数的图象在（   ） A．第一，三象限	B．第一，二象限 C．第二，四象限	D．第三，四象限,361,已知反比例函数求参,函数,第四章 反比例函数,lv2,58,反比例函数的图象性质(58) | 求反比例函数解析式(58) | 象限点的特征(21)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,一、单选题,5,一元二次方程的根是（   ） A．	B．	C．，	D．，,172,判断一元二次方程,代数,第十一章 一元二次方程,lv1,55,一元二次方程的解法(55) | 依据判别式判断根的情况(55) | 依据根的情况求参数(55)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,一、单选题,6,用心形按如图所示的规律拼图案，其中第①个图案中有1颗心，第②个图案中有3颗心，第③个图案中有6颗心，第④个图案中有9颗心，…，按此规律，则第⑦个图案中，心形的颗数是（    ） A．15	B．18	C．21	D．28,40,数图排列规律,代数,第二章 整式及其加减计算,lv3,39,数式排列规律(15) | 周期规律(15)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,一、单选题,7,小沙在活动课中用长度为5，m，n的三根木棒搭建一个三角形木架，则m，n可能的取值分别是（    ） A．1和3	B．2和3	C．2和8	D．3和6,214,三角形三边关系,几何,第三章 三角形,lv2,22,三角形中的角度计算(22) | 分式值为0求字母的取值(11) | 三角形稳定性的应用(10)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,一、单选题,8,如图，是的切线，点A为切点，弦，连接并延长交于点B．若，，则的长是（    ） A．1	B．	C．2	D．,284,与切线有关辅助线,几何,第九章 圆,lv4,23,直线和圆的位置关系(23)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,一、单选题,9,如图，在正方形中，点是的中点，点在上，连接，．若，，则一定等于（    ） A．	B．	C．	D．,265,正方形的性质,几何,第七章 平行四边形,lv2,47,正方形的判定(47) | 线段中点计算问题(17) | 中点坐标公式(17)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,一、单选题,10,一个二次三项式加上它的任意一项，得到一个新的多项式，称为“加系数操作”．例如：对进行“加系数操作”后可以是． 下列说法： ①对进行所有“加系数操作”后的多项式的和是； ②存在不同的二次三项式，对它们进行“加系数操作”后，其结果相同； ③若关于x的二次三项式（a，b，c为常数）的值不可能为零，则对进行“加系数操作”后的多项式的值也不可能为零． 其中正确的个数是（    ） A．0	B．1	C．2	D．3,36,定义新运算,代数,第二章 整式及其加减计算,lv2,59,判断一元二次方程(59) | 依据判别式判断根的情况(59) | 整式的概念(35)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,二、填空题,11,计算：__________．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,二、填空题,12,马拉松(Marathon)国际上非常普及的长跑比赛项目，全程距离26英里385码，折合约为42000米，用科学记数法表示42000为 ______．,10,科学记数法,代数,第一章 有理数,lv1,137,
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,二、填空题,13,如图，在中，点D，E分别是的中点．若的周长为4，则的周长是__________．,214,三角形三边关系,几何,第三章 三角形,lv2,23,线段中点计算问题(17) | 中点坐标公式(17) | 已知多中点，构造中位线(17)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,二、填空题,14,为弘扬红岩精神，赓续红色血脉，沙坪坝区开展“小小红岩讲解员”风采展示活动．两同学从宋振中、陈然和江竹筠三位烈士中随机选择一位烈士的故事进行讲解，则他们恰好选择同一位烈士的概率是__________．,393,概率的意义,统计概率,第三章 概率初步,lv1,25,求随机事件的概率(25) | 统计图的选择(11)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,二、填空题,15,如图，，都是等边三角形，将绕点C旋转，使得点A，D，E在同一直线上，连接．若，，则的长是__________．,248,两个特殊的直角三角形,几何,第六章 勾股定理,lv2,59,直线和圆的位置关系(33) | 图形旋转的性质(29) | 三角形三边关系(22)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,二、填空题,16,如图，在矩形中，，．以点A为圆心，的长为半径画弧交，的延长线于点E，F，则图中阴影部分的面积是__________．（结果不取近似值）,281,弧长和扇形面积,几何,第九章 圆,lv2,71,矩形的性质(30) | 矩形的判定(30)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,二、填空题,17,若关于的不等式组的解集为，且关于的分式方程的解为正整数，则所有满足条件的整数的值之和是________．,92,解一元一次不等式组,代数,第六章 不等式及不等式组,lv2,44,不等式的基本性质(36) | 根据定义求值(35) | 整数解方程(35)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,二、填空题,18,一个四位自然数M，记作，若，则称M为“双11数”．例如：四位数4279，∵，∴4279是“双11数”．若一个“双11数”为且能被5整除，则这个数是__________；若M是一个“双11数”，设，且是整数，则满足条件的M的最小值是__________,36,定义新运算,代数,第二章 整式及其加减计算,lv2,95,正数、负数和0(23) | 数轴的概念(23)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,三、解答题,19,计算： (1)； (2)．,375,频数和频率的计算,统计概率,第一章 数据的收集、整理和描述,lv2,11,实数的简单计算(10) | 有理数加减计算(10)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,三、解答题,20,随着新能源电动汽车的推广，人们对电动汽车的电池续航能力非常关注．某4S店为了解车主对甲、乙两款电动汽车电池续航能力的满意程度，从该店销售的甲、乙两款车中各随机抽取10名车主对其所使用车辆的电池续航能力进行评分（单位：分），并对数据进行整理、描述和分析（评分用x表示，共分为三组：A．，B．，C．），下面给出了部分信息： 甲款电动汽车10名车主的评分是：70，75，80，80，80，80，85，85，95，100． 乙款电动汽车10名车主的评分在B组的数据是：80，80，85，85，85． 抽取的甲、乙两款电动汽车车主的评分统计表 抽取的乙款电动汽车车主的评分扇形统计图 根据以上信息，解答下列问题： (1)上述图表中 ， ， ； (2)根据以上数据，你认为哪款电动汽车的电池续航能力的满意度更好？请说明理由（写出一条理由即可）； (3)该4S店甲款电动汽车的车主有400人，乙款电动汽车的车主有600人．若评分不低于90分为“非常满意”，估计这些车主中对其所使用车辆的电池续航能力“非常满意”的总共有多少人？,373,统计图的选择,统计概率,第一章 数据的收集、整理和描述,lv1,63,从扇形统计图分析数据(59) | 数据的收集与整理过程(30) | 销售问题(23)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,三、解答题,21,学习了平行四边形后，小庆进行了拓展性探究．她发现，如果作平行四边形一组对边与同一条对角线所组成的角的平分线，那么这两条角平分线截另一对角线所得的线段被对角线的交点平分．其解决思路是通过证明对应线段所在的两个三角形全等得出结论．请根据她的思路完成以下作图与填空： 用直尺和圆规，作的平分线，交于点F．（只保留作图痕迹） 已知：如图，在中，交于点O，平分交于点E，平分交于点F． 求证：． 证明：∵四边形是平行四边形， ∴， ① ， ∴． 又∵平分，平分， ∴， ② ． ∴． 又∵ ③ ，， ∴． ∴． 小庆再进一步研究发现，过平行四边形一条对角线的两端点作两条平行线，这两条平行线截另一对角线所得的线段均有此特征．请你依照题意完成下面命题： 过平行四边形一条对角线的两端点作两条平行线，这两条平行线截另一对角线所得的线段 ④ ．,225,全等三角形性质,几何,第四章 全等三角形,lv2,59,全等三角形判定(59) | 平行四边形的性质(49) | 平行四边形的判定(49)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,三、解答题,22,为积极发展新质生产力支持农业现代化建设，A、B两机械生产公司接受3600台微耕机的生产任务．已知A公司每天生产微耕机的台数是B公司每天生产微耕机台数的． (1)若A公司生产40天，B公司生产30天，则恰好完成生产任务．问B公司每天生产多少台微耕机？ (2)由于时间紧任务重，A、B两公司每天生产微耕机的台数均在原来的基础上提高了，A、B两公司各完成总生产任务的一半，A公司完成任务所需要的时间比B公司完成任务的时间多5天．问B公司现在每天生产多少台微耕机？,57,工程问题,代数,第三章 一元一次方程,lv2,23,配套问题(23) | 无理数的估算(11)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,三、解答题,23,如图，在菱形中，，．动点从点出发沿边运动，到达点时停止运动，过点作，分别交，于点，．设，点，之间的距离为． (1)请直接写出关于的函数表达式，并注明自变量的取值范围； (2)在给定的平面直角坐标系中画出的函数图象，并写出该函数的一条性质； (3)函数的图象如图所示，结合函数图象，直接写出当时的值．（近似值保留一位小数，误差不超过0.2）,331,一次函数图象和性质,函数,第二章 一次函数的性质和图象,lv2,251,二次函数图象判断(244) | 反比例函数的图象性质(244) | 求自变量的取值范围(119)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,三、解答题,24,为满足市民需求，市政部门在某湿地公园内沿湖修建了如图所示的健身步道．经勘测，点C在点A的正东方，点B既在点A的东南方向，又在点C的西南方向，点D既在点A北偏东方向，又在点C的西北方向2千米处．（参考数据：，） (1)求的长度．（结果精确到千米） (2)小华准备从点A跑步到点C，他决定选择一条较长的路线，请计算说明小华应选择路线，还是路线？,57,工程问题,代数,第三章 一元一次方程,lv2,47,平行线分线段成比例(35) | 数据的收集与整理过程(11) | 统计图的选择(11)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,三、解答题,25,如图，在平面直角坐标系中，抛物线与x轴交于点A，，与y轴交于点． (1)求抛物线的表达式； (2)点P是直线下方抛物线上且位于抛物线的对称轴右侧的一动点，过点P作x轴的平行线交抛物线的对称轴于点D，过点P作于点E，求的最大值及此时点P的坐标； (3)在（2）中取得最大值的条件下，将该地物线沿射线方向平移个单位长度，点F为点P平移后的对应点，连接，点M为平移后的抛物线上一点，若，写出所有符合条件的点M的坐标，并写出求解点M的坐标的其中一种情况的过程．,347,求二次函数的解析式,函数,第三章 二次函数,lv2,191,二次函数图象和性质判断(143) | 二次函数中的图形面积问题(143) | 判断轴对称图形(51)
2024,2024年重庆市沙坪坝区初中适应性考试数学试题.docx,三、解答题,26,在中，，，点D是边上一动点，过点C作交于点E． (1)如图1，若，求的度数； (2)如图2，点F是上一点，连接并延长交的延长线于点G．若点P为的中点，，，求证：； (3)点F是边上一点，射线与射线交于点G，，点H是上一点，且，连接，，点M是射线上一动点，连接，．在点D的运动过程中，当取得最小值m时，在平面内将沿直线翻折得到，连接．在点M的运动过程中，若的最大值为n，直接写出的值．,280,直线和圆的位置关系,几何,第九章 圆,lv2,33,正数、负数和0(23) | 数轴的概念(23) | 矩形翻折问题(19)
2024,2024年重庆市第八中学校九年级下学期数学强化训练试卷（四）.docx,一、单选题,1,的相反数是（　　） A．	B．	C．3	D．-3,4,求一个数的相反数,代数,第一章 有理数,lv1,53,
2024,2024年重庆市第八中学校九年级下学期数学强化训练试卷（四）.docx,一、单选题,2,已知一个几何体如图所示，那么它的左视图是（    ） A．	B． C．	D．,311,由几何体判定三视图,几何,第十二章 投影和视图,lv1,35,几何体的展开图(17)
